	Opt.	CR	FP
X^4	2	22	14
X^5	2	20	13
X^6	4	23	16
X^7	1	20	2
X^8	1	1	1

X^0	5	199	98
X^1	1	196	96
X^2	1	196	96
X^3	1	191	92
X^4	4	189	94
X^5	7	185	96
X^6	2	172	87
X^7	1	84	73
X^8	0	103	82

X^0	4	98	42
X^1	4	100	44
X^2	4	99	42
X^3	4	99	44
X^4	1	87	44
X^5	0	80	42
X^6	0	80	28
X^7	0	27	3
X^8	0	80	26

X^0	3	44	16
X^1	3	41	20
X^2	3	30	15
X^3	3	21	9
X^4	3	24	7
X^5	3	10	4
X^6	3	22	9
X^7	3	3	3
X^8	1	22	9

X^0	1	48	20
X^1	1	45	20
X^2	1	41	18
X^3	1	39	19
X^4	1	36	18
X^5	1	32	19
X^6	1	20	19
X^7	1	26	13
X^8	1	11	1

X^0	1	49	25
X^1	1	45	25
X^2	1	41	25
X^3	3	43	23
X^4	3	38	18
X^5	1	29	14
X^6	1	28	18
X^7	3	38	24
X^8	1	29	8

X^0	2	21	15
X^1	2	21	13
X^2	2	20	11
X^3	2	19	14
X^4	2	20	15
X^5	2	18	13
X^6	1	13	9
X^7	1	14	6
X^8	0	2	0

X^0	2	9	2
X^1	2	11	4
X^2	3	8	3
X^3	3	9	3
X^4	4	8	4
X^5	1	6	1
X^6	3	7	3
X^7	1	3	1
X^8	1	7	1

X^0	4	27	13
X^1	2	21	7
X^2	2	20	5
X^3	1	16	6
X^4	2	15	4
X^5	1	15	3
X^6	0	13	3
X^7	3	12	3
X^8	0	16	6

X^0	2	383	178
X^1	2	384	179
X^2	2	378	175
X^3	2	373	176
X^4	2	368	187
X^5	2	351	177
X^6	2	325	175
X^7	2	174	167
X^8	1	212	169

X^0	2	365	180
X^1	4	364	182
X^2	4	360	177
X^3	4	358	178
X^4	4	355	177
X^5	4	327	172
X^6	4	288	151
X^7	4	174	168
X^8	4	4	4

X^0	2	143	62
X^1	2	144	63
X^2	2	137	62
X^3	2	131	56
X^4	2	124	58
X^5	2	116	58
X^6	2	115	61
X^7	2	63	58
X^8	1	78	49

X^0	1	64	30
X^1	1	66	32
X^2	1	68	34
X^3	1	64	30
X^4	1	62	28
X^5	1	62	32
X^6	2	60	30
X^7	1	34	28
X^8	1	1	1

X^0	3	31	10
X^1	3	31	9
X^2	3	30	13
X^3	2	31	17
X^4	2	27	15
X^5	3	26	13
X^6	1	25	15
X^7	1	23	13
X^8	3	25	8

X^0	2	76	34
X^1	2	77	33
X^2	2	78	35
X^3	2	75	35
X^4	2	74	37
X^5	2	54	33
X^6	2	56	38
X^7	2	9	3
X^8	0	23	0

X^0	3	41	15
X^1	3	41	17
X^2	3	39	18
X^3	3	38	20
X^4	3	35	19
X^5	3	32	16
X^6	3	23	17
X^7	3	21	12
X^8	0	27	10

X^0	2	595	292
X^1	3	601	298
X^2	8	604	301
X^3	7	599	298
X^4	3	591	295
X^5	2	491	295
X^6	2	396	199
X^7	2	299	199
X^8	4	306	196

X^0	3	553	231
X^1	1	551	228
X^2	4	544	228
X^3	1	512	226
X^4	1	483	218
X^5	1	436	214
X^6	1	411	218
X^7	1	221	210
X^8	0	321	212

X^0	2	588	286
X^1	3	590	288
X^2	2	586	287
X^3	4	573	275
X^4	5	571	277
X^5	8	565	280
X^6	2	559	279
X^7	2	287	273
X^8	0	313	275

X^0	6	36	20
X^1	1	29	12
X^2	5	32	15
X^3	1	23	12
X^4	1	18	2
X^5	2	18	7
X^6	2	22	13
X^7	1	7	6
X^8	0	8	5

X^0	2	133	80
X^1	4	138	82
X^2	1	133	77
X^3	1	135	86
X^4	1	132	81
X^5	1	124	76
X^6	2	135	96
X^7	3	74	66
X^8	0	102	67

X^0	3	113	56
X^1	1	107	51
X^2	1	104	51
X^3	3	102	46
X^4	0	92	45
X^5	0	87	41
X^6	0	79	41
X^7	0	38	28
X^8	0	57	41

